tag,total_posts,total_views,total_answers,total_comments,total_favorites,year
storyboard,1033,1652970,1519,2405,467,2016
cloud,1033,290391,935,1217,86,2020
latex,1032,17870176,2525,1154,3091,2010
xmlhttprequest,1032,3632402,1239,2321,570,2014
set,1031,183006,1470,2740,124,2020
get,1031,562798,1173,2334,88,2019
mongodb,1031,14883472,2758,816,6376,2010
material-design,1031,4422803,1670,1734,802,2018
ms-word,1031,4410658,1723,1197,617,2011
pagination,1031,741877,1082,1787,178,2019
stack,1030,154649,1140,3121,94,2020
architecture,1030,6672724,4093,858,7985,2009
localization,1030,1252595,1118,1593,408,2016
syntax-error,1030,5243965,1886,2390,591,2013
layout,1030,736283,1280,1960,161,2019
package,1030,1342064,1130,2129,368,2018
frameworks,1030,4348485,2977,1104,2477,2010
dependencies,1030,3238445,1382,1741,914,2014
format,1029,1366631,1425,2313,201,2017
azure-web-app-service,1029,109748,961,1596,111,2021
constants,1029,2950725,2103,3168,910,2014
modal-dialog,1028,2165469,1231,1942,292,2017
youtube,1028,7869946,1918,932,1741,2011
apache-camel,1028,277452,866,1198,96,2020
window,1028,4917840,1773,1667,665,2012
widget,1028,1350011,1192,1289,333,2014
append,1027,3155258,1637,1990,338,2014
queue,1027,1245789,1302,2258,346,2016
jasper-reports,1027,1761418,1088,1625,213,2015
browser,1027,16748602,3680,958,5440,2009
user-controls,1027,1178652,1210,2176,187,2014
apache-poi,1027,2535574,1077,2466,275,2016
phpmyadmin,1027,600280,1097,2671,110,2019
printf,1026,2582221,2053,3372,321,2014
serial-port,1026,1766317,1031,2572,241,2015
youtube-api,1026,1185563,1101,1525,364,2017
xmlhttprequest,1026,8262647,1665,1889,1675,2012
fortran,1026,479831,952,4370,170,2018
architecture,1026,408953,1167,1486,340,2019
runtime-error,1025,3460201,1526,3019,303,2014
search,1025,8853317,3404,882,3188,2009
admob,1025,1564208,1281,1732,401,2016
sed,1025,12673486,3307,1281,2617,2011
stack,1025,1182079,1605,3331,338,2015
return,1025,121952,1498,2933,64,2020
pattern-matching,1024,1061918,1625,2460,402,2016
jar,1024,862727,1018,2598,174,2018
get,1024,6867033,2360,1489,887,2011
xamarin.android,1024,2116750,1513,899,494,2012
uicollectionview,1024,214196,1002,1959,152,2020
fragment,1024,4610319,1511,1726,854,2013
paypal,1024,3614400,1645,1024,1011,2011
subprocess,1023,455724,1035,2563,140,2019
tuples,1023,449107,1859,2488,174,2019
google-oauth,1023,2344931,1273,1477,847,2014
apache-poi,1023,1235415,901,3010,194,2018
twig,1023,892953,1123,2344,106,2018
polymorphism,1023,929143,1848,3208,521,2015
nosql,1023,776733,1042,1494,283,2018
compiler-errors,1022,9379293,2603,2230,2731,2011
fullcalendar,1022,2000397,1186,1809,252,2015
boolean,1022,199780,1485,2625,76,2020
f#,1021,2347554,2725,1196,2057,2010
jakarta-ee,1021,485076,931,2185,140,2019
include,1021,1983455,1550,2654,278,2014
webrtc,1020,1796703,1093,1594,540,2016
jtable,1020,1092811,1176,2732,112,2015
queue,1020,3108942,1666,2315,605,2013
db2,1020,219605,1180,2518,36,2020
clang,1020,3026290,1450,3034,1300,2014
dns,1019,79689,595,1471,61,2021
prolog,1019,341360,1118,2846,74,2018
jackson,1019,82690,803,1545,73,2021
integer,1019,65753,1531,2753,41,2021
package,1019,5605049,1469,1912,1451,2014
ef-code-first,1019,2369621,1241,1691,684,2014
arguments,1019,1320627,1600,2296,273,2015
composer-php,1018,1406350,1117,2488,187,2019
keyboard,1018,1582967,1249,2003,409,2017
doctrine,1018,2241629,1237,1532,395,2014
continuous-integration,1018,117016,637,1002,98,2021
routes,1018,3157468,1730,919,1013,2011
kendo-ui,1017,395352,957,1323,77,2019
scripting,1017,9572695,2246,1581,1610,2012
hyperlink,1017,350933,961,1659,48,2020
twig,1017,5579084,1660,1451,737,2013
oauth,1016,863847,987,1516,274,2019
crash,1016,1192665,1093,3430,419,2017
controls,1016,4569551,2106,782,713,2010
google-visualization,1016,895214,1004,1281,156,2017
reactjs,1016,21310406,2438,1407,6316,2014
csv,1015,19750182,3089,1243,3426,2010
gwt,1015,459320,1070,1467,109,2016
sorting,1015,28385565,4377,1309,9278,2009
extjs,1015,5863822,2053,487,675,2010
gps,1014,4603326,1777,1067,1522,2011
crash,1014,2970931,1870,2322,841,2011
office365,1014,1213021,1040,1312,307,2017
annotations,1013,8177600,2025,991,3376,2011
azure-sql-database,1013,726668,1311,1954,167,2019
cucumber,1013,367085,878,1352,94,2020
regression,1013,1067265,946,2123,355,2018
polymorphism,1013,1946005,2187,2789,829,2013
rss,1012,809229,1125,1507,170,2014
multiprocessing,1012,1565254,1045,2544,610,2016
office365,1012,371543,803,1467,169,2020
postgresql,1012,23825308,3577,811,7008,2009
typo3,1011,811456,1454,1169,195,2016
stack,1011,2954730,1910,2677,555,2013
hashmap,1011,476230,1513,3055,216,2019
controller,1011,303525,1112,1924,65,2020
gdb,1010,4509447,1484,2051,1102,2013
subquery,1010,4278342,1779,1749,378,2013
selenium-webdriver,1010,16655823,2470,1255,2077,2012
sql-server-2008-r2,1010,913443,1498,2703,153,2016
jasper-reports,1010,2207358,1123,1414,276,2014
data.table,1010,2526441,1538,2713,1875,2014
ssl-certificate,1009,2546073,1001,1829,526,2018
package,1009,3476123,1360,1996,765,2015
cryptography,1009,744623,965,2866,232,2019
mocha.js,1009,1214119,1129,1479,186,2018
android-sqlite,1009,885047,1325,2817,213,2016
tinymce,1008,2705163,1550,1379,439,2012
save,1008,5577748,1753,1542,819,2012
reporting-services,1008,4582314,1746,554,463,2010
mocha.js,1008,2502875,1335,1321,670,2015
lucene,1008,546742,980,1337,164,2017
gdb,1008,4904801,1692,1498,1654,2012
download,1008,953619,969,2082,191,2019
architecture,1007,820943,1258,1838,500,2018
dependencies,1007,1743116,1161,1923,439,2017
url-rewriting,1006,430126,946,1638,100,2018
phpunit,1006,2003076,1338,1536,517,2014
pivot,1006,548969,1354,2211,181,2018
ip,1006,3550186,1388,1637,582,2014
expo,1006,2511072,1375,1347,504,2018
regression,1006,510373,901,1914,191,2019
spring-security,1006,5739444,1675,931,1928,2011
subquery,1006,1247487,1503,1799,140,2014
tree,1006,4423483,2109,1681,1618,2011
pip,1005,14751404,2084,2082,3020,2014
triggers,1005,350374,1047,2480,89,2019
garbage-collection,1005,4915341,2589,2230,2251,2011
hdfs,1005,841119,990,1908,229,2018
vim,1005,23990303,4769,1043,22441,2009
ruby-on-rails-4,1005,455248,1147,2054,101,2018
mapreduce,1005,773378,1075,1810,177,2017
html5-canvas,1004,715577,1055,1934,241,2018
database-design,1004,153120,1182,2324,97,2020
erlang,1004,1083145,1582,1036,517,2013
textbox,1004,1322471,1433,2350,135,2016
xampp,1004,455073,804,2348,103,2020
html5-canvas,1004,5086401,1639,1558,1366,2012
actionscript-3,1004,194057,942,2693,87,2017
event-handling,1003,1084419,1248,1928,194,2015
razor,1003,70439,880,1558,47,2021
insert,1003,883243,1307,2883,126,2017
time-complexity,1003,1318197,1708,3104,465,2016
google-oauth,1003,1680007,1086,1775,623,2015
asp.net-web-api2,1003,1203807,1083,2464,267,2018
network-programming,1002,4351953,1889,1573,1423,2011
gmail,1002,2389432,1241,1863,483,2015
gson,1002,902935,1325,2427,188,2018
outlook,1002,4950915,1491,1221,690,2012
gpu,1002,778144,839,1662,240,2020
jsp,1002,9684794,2630,628,2067,2009
visual-c++,1002,67308,692,3368,75,2021
arm,1002,364798,899,3919,130,2020
label,1002,4350822,1601,1625,608,2013
location,1002,1801171,1212,1751,523,2015
compare,1002,2516795,1795,2313,395,2014
frameworks,1002,1923838,1283,1674,974,2015
queue,1001,2025615,1429,2214,447,2014
formatting,1001,1643444,1421,2127,263,2017
cucumber,1001,1800185,1258,1675,238,2017
google-play,1001,1019281,1226,1806,331,2019
base64,1001,1585455,1040,2851,247,2018
xmlhttprequest,1001,3445402,1063,2440,557,2015
ide,1000,5758721,1792,1819,1441,2013
url,1000,38467306,4164,1029,12540,2009
ckeditor,1000,1624344,1255,1297,298,2014
subprocess,1000,2262923,1407,3114,390,2015
coldfusion,1000,3217904,2342,1347,1270,2010
automation,1000,4708532,1739,1417,1087,2012
office365,1000,972299,1024,1702,274,2018
testng,1000,2755553,1417,1855,279,2015
sas,1000,3172413,1691,1290,279,2013
drop-down-menu,999,278099,1011,1562,57,2020
signalr,999,1314135,985,1767,353,2016
kernel,999,1813223,1188,1689,481,2014
observable,999,5824714,1490,1513,1445,2016
save,999,2099771,1272,2121,334,2015
linker,999,6005919,1961,1484,1992,2011
key,998,6101841,1860,1804,831,2013
utf-8,998,15240727,2827,1623,3616,2010
printing,998,12180930,2398,1021,2022,2010
google-cloud-storage,998,1475918,1190,1241,452,2017
apache2,998,5469716,1422,1618,744,2013
xsd,998,5835800,1801,705,1227,2010
ide,998,6666599,2652,1583,2175,2011
webrtc,997,1593301,1025,1587,500,2017
asynchronous,997,4880415,2332,890,2719,2010
slider,997,1774221,1179,1436,202,2015
statistics,996,4777103,1563,1928,1190,2013
network-programming,996,1747767,1191,2094,527,2014
responsive-design,996,1285493,1423,1835,238,2018
concurrency,996,7652708,3102,1385,5995,2010
proxy,995,6521872,1641,1154,1624,2011
random,995,23206495,4207,2167,5636,2010
apache-poi,995,3044918,1160,2449,271,2015
prolog,995,2396858,1839,1149,357,2012
erlang,995,646438,1234,1352,288,2016
click,995,2720610,1656,1988,321,2014
cryptography,995,5390414,1839,2471,1713,2012
wix,994,3014072,1454,900,785,2012
blackberry,994,519397,1026,1737,190,2013
base64,994,3843662,1286,2272,666,2015
ide,994,4658185,1951,1711,1190,2012
angularjs-ng-repeat,994,627346,1493,2261,92,2017
operating-system,994,58472,707,2246,55,2021
opengl-es,994,3034969,1726,660,1431,2010
raspberry-pi,994,5902351,1496,1727,947,2013
cocoa-touch,993,970711,1339,2155,433,2016
timezone,993,2208276,1371,2353,327,2016
logging,993,13098946,3595,714,5830,2009
fortran,993,270516,823,3661,127,2019
count,993,9753866,2536,1249,1223,2011
hex,993,3980162,1643,2412,505,2014
constraints,993,1475569,1282,2234,328,2015
resources,993,4005536,1429,1657,652,2013
duplicates,993,47615,1295,1903,62,2021
testng,993,1728115,1362,1750,243,2016
autocomplete,992,1146392,1031,1953,268,2018
qt5,992,1188289,1048,2473,269,2017
responsive-design,992,192433,1134,1564,69,2020
pycharm,992,5293418,1618,1908,1198,2015
connection,991,5088937,1662,1755,728,2012
protractor,991,5135647,1686,1280,1553,2014
navigation,991,1137473,1235,1486,220,2016
fullcalendar,991,1230339,1106,1625,220,2016
cors,990,9230322,1632,1794,1829,2014
cors,990,159747,950,1845,92,2021
filesystems,990,4149965,1752,1934,1092,2012
hex,990,7801732,1923,2367,1560,2013
header,990,1298539,1217,2305,203,2017
design-patterns,989,55441,891,2059,99,2021
erlang,989,760850,1343,1304,331,2015
static,989,762890,1358,3208,235,2018
keyboard,989,6894690,2081,1174,1861,2011
double,989,5776042,2349,3099,499,2013
uitextfield,989,3319783,2158,1292,881,2012
log4j,989,2706635,1197,1539,477,2015
telerik,989,611897,1032,1330,70,2016
centos,989,1644414,1007,2084,225,2018
html5-canvas,989,1048823,1055,1976,273,2017
ip,989,1896843,1250,1804,369,2015
qml,989,2632317,1288,1415,653,2014
components,988,60820,890,1256,37,2021
pyspark,988,11450432,1636,1254,2396,2015
django-views,988,2052107,1293,1343,436,2014
merge,988,7430359,2179,1470,2416,2011
switch-statement,988,1161414,1751,3256,256,2017
onclick,988,775895,1561,2155,116,2018
integer,988,1814765,1911,3125,308,2016
highcharts,987,40935,746,1349,31,2021
uinavigationcontroller,987,1513723,1453,1963,379,2016
treeview,987,2450751,1274,1427,291,2013
tags,987,5320323,2061,1201,1169,2011
jaxb,987,6382845,1671,909,1117,2011
tuples,987,2226304,1921,2273,416,2015
fonts,987,61668,608,1525,44,2021
jinja2,987,749627,1092,1322,104,2019
find,986,1367248,1542,1958,172,2016
mono,986,2324216,1695,1375,671,2011
amazon-ec2,985,7687612,2213,849,3165,2011
synchronization,985,778048,1124,2135,362,2016
office365,985,1492374,1149,897,380,2015
datepicker,985,417507,938,1415,86,2020
command-line-interface,985,335414,992,1702,116,2020
bots,984,2307103,1118,1658,257,2018
mysqli,984,111872,866,3914,64,2020
character-encoding,984,1340363,1080,2865,257,2017
upload,984,1185592,986,2181,205,2017
apache-kafka,983,5439574,1439,1149,1367,2015
python-3.x,983,21915579,2598,1716,4190,2011
numbers,983,1789777,1832,2652,281,2016
neo4j,983,41009,758,900,53,2021
gson,983,4627293,1509,2091,769,2014
concurrency,983,66407,867,2422,166,2021
radio-button,982,6696430,2004,1341,571,2012
soap,982,53422,419,1231,31,2021
applescript,982,1373667,1339,935,408,2014
enums,982,69508,1048,2287,81,2021
thread-safety,982,4734670,2523,1797,1823,2011
log4j,981,3411036,1314,1266,599,2014
css-selectors,981,1395379,1729,2435,216,2017
iterator,981,389518,1411,3031,179,2019
stripe-payments,981,833690,1063,1608,231,2018
salesforce,981,2233702,1254,790,182,2013
io,981,162364,1040,2659,108,2020
angularjs-scope,981,9682842,1688,1436,2710,2013
pyqt,980,68361,673,1997,50,2021
console,979,1143422,1201,2389,247,2017
static,979,226315,1136,2698,120,2020
localhost,979,5786608,1439,2047,747,2014
recursion,979,7232344,3367,2083,2420,2010
command-line,979,62677,759,1866,57,2021
sharepoint-2010,979,1636721,1065,868,158,2014
char,979,140943,1565,3811,61,2020
alignment,979,2486501,1782,1881,362,2014
localhost,978,3547553,1326,2323,400,2015
icons,978,5542917,1610,1589,953,2013
camera,978,5868031,1652,884,1870,2011
geolocation,978,1264085,1038,1618,337,2017
formatting,978,1971537,1418,1915,290,2016
clojure,978,350691,1485,1502,204,2018
app-store,978,2598574,1720,1322,1027,2012
dom-events,978,236276,1150,1888,71,2020
uitextfield,977,3643297,1888,1957,808,2014
f#,977,262360,1179,1742,155,2019
model-view-controller,977,3996834,2899,548,2952,2009
datatables,977,5586924,1533,1476,524,2013
sequelize.js,976,3286281,1184,1093,662,2016
compilation,976,571919,1002,2732,222,2019
operating-system,976,708336,1133,2331,192,2018
scroll,976,57611,639,1124,45,2021
wix,976,1257474,1137,1084,260,2015
range,976,1053774,1452,2450,178,2017
conditional-statements,975,3120000,1901,2397,363,2014
amazon-s3,975,6624310,2117,778,2613,2011
queue,975,1462874,1260,2103,335,2015
pthreads,975,3396229,1593,2627,798,2013
process,975,166536,830,2560,97,2020
passwords,975,6616380,2034,2186,2034,2012
memory-leaks,975,527789,896,3243,297,2019
char,974,1229816,1771,4061,160,2017
uiimage,974,1296232,1313,2226,411,2016
web-crawler,974,816932,1034,1736,245,2017
methods,974,11007603,3027,1286,2678,2010
rss,974,1246149,1167,1292,313,2013
erlang,973,1622720,1678,853,884,2012
configuration,973,817456,1031,1487,201,2019
pivot,973,6307972,1464,1506,925,2013
build.gradle,972,890365,966,1332,173,2020
safari,972,77844,441,1071,61,2021
xml,972,22685410,4334,617,6382,2008
memory,972,13359537,3968,1276,5000,2009
geometry,971,1103651,1279,2468,390,2016
attributes,971,1335647,1243,1905,280,2017
directory,971,46865,774,1839,45,2021
playframework,971,447302,1001,1280,139,2018
mfc,971,687613,907,3349,148,2016
gridview,971,6517135,2155,481,572,2009
amazon-elastic-beanstalk,971,1350138,1135,1430,511,2016
xsd,970,992189,991,1447,150,2017
reference,970,10599363,3011,1320,2769,2010
in-app-purchase,970,2054003,1406,1052,889,2012
binary,970,381338,1169,2902,108,2019
onclick,970,222437,1228,1631,57,2020
apache-spark-sql,969,15320182,1812,1082,3583,2015
header,969,3303711,1525,2188,425,2014
pdf,969,13164196,3130,781,3514,2009
dependencies,968,4875001,1542,1565,1738,2013
tableview,968,861098,1173,2652,175,2017
uiimage,968,4277164,1859,975,1806,2011
smtp,968,1518574,961,2263,212,2017
drag-and-drop,968,985348,942,1685,297,2017
crystal-reports,967,5029363,1533,759,319,2011
network-programming,967,1252792,1031,2232,344,2016
webrtc,967,89180,479,786,76,2021
navigation,967,2759038,1715,1030,688,2011
azure-sql-database,967,1080088,1285,1812,226,2017
stl,967,895509,1448,4083,305,2017
drupal,966,625186,1062,1355,82,2017
queue,966,1077187,1073,2162,284,2017
qt5,966,2657182,1316,1791,577,2014
magento,966,672022,961,1260,98,2018
cuda,965,1832789,1129,2421,554,2017
malloc,965,1385192,1936,4009,271,2014
build.gradle,965,5933857,1699,1787,1090,2015
include,965,5865931,2372,1798,1211,2011
base64,965,348986,854,2095,72,2020
css-selectors,965,15033552,2590,1701,2846,2011
msbuild,965,4972826,1958,663,2051,2010
testng,964,1486857,1188,1896,178,2017
web-applications,964,554006,969,2066,166,2019
containers,964,2336017,1364,1909,667,2017
gdb,964,1293415,1049,2481,457,2016
boolean,964,3526416,1813,2810,504,2016
centos,963,713182,896,1648,125,2020
html5-canvas,963,217772,924,1595,91,2020
crystal-reports,963,1012341,902,1763,99,2017
initialization,962,6491616,2349,2120,1147,2012
facebook-graph-api,962,561077,705,1938,137,2019
http-post,962,3951620,1267,2072,804,2014
output,962,1408968,1373,2389,288,2016
ssl-certificate,962,1128650,889,1798,204,2019
telerik,961,2931475,1417,657,248,2011
ssl-certificate,961,3443435,1093,1556,887,2016
connection,961,3348105,1274,1746,357,2014
drop-down-menu,961,7370780,1989,758,698,2010
google-oauth,961,359086,811,1664,137,2020
character-encoding,961,829692,1002,3021,181,2018
itext,961,1907698,892,2653,293,2015
zip,960,5674789,1550,1760,1342,2013
cocoapods,960,1145770,1053,1331,384,2020
closures,960,1103879,1398,2107,530,2015
amazon-elastic-beanstalk,960,848947,1023,1489,318,2018
coding-style,960,4247300,2830,2340,1271,2012
uitextfield,960,3199375,1925,1976,822,2015
salesforce,959,352486,840,827,62,2020
queue,959,234975,880,2076,104,2020
datatable,959,10369862,1995,1167,844,2011
resize,959,7321614,1984,1296,1321,2011
localhost,958,2492021,1086,2491,504,2017
hex,957,2269094,1452,2630,304,2015
winforms,957,15358978,3882,423,3751,2008
logstash,957,878661,890,1495,159,2018
console,957,10169602,2452,1591,2704,2011
dll,957,8977480,2860,811,2548,2009
xamarin.android,957,80784,638,2265,43,2021
akka,957,1397663,1259,1342,751,2014
set,957,1058780,1527,2942,251,2017
listbox,957,748345,1194,2324,80,2017
gdb,957,1719941,1092,2206,450,2015
extjs,957,411628,1007,1451,113,2018
google-play,956,1679317,1190,1812,513,2016
iteration,956,1189166,1772,2486,279,2015
jasmine,956,378029,913,1292,97,2020
elixir,956,437929,1293,1251,131,2019
google-visualization,956,1314346,1026,1148,295,2015
clang,956,1706181,1183,2906,779,2015
tree,955,350337,1094,2428,178,2019
entity-framework-6,955,315659,928,2887,144,2019
fragment,955,1087204,1346,2231,172,2016
localization,955,4867273,2098,783,2066,2010
transactions,955,210631,808,1861,76,2020
package,954,2686400,1193,1840,655,2016
timeout,954,4912511,1428,1663,753,2013
pattern-matching,954,1248373,1598,2009,529,2015
foreign-keys,954,5918350,1695,1488,820,2012
testng,954,963764,1115,1919,175,2018
label,953,200967,945,1445,71,2020
casting,953,13227309,3277,1677,2226,2010
vb.net,953,15921225,3947,469,3441,2008
boolean,953,1408254,1722,2932,243,2017
append,952,2181701,1581,2118,206,2015
dialog,952,1226457,1198,1797,217,2016
attributes,952,7342191,2151,1127,1607,2011
doctrine,951,847998,1083,1791,145,2018
grails,951,312143,932,1522,106,2018
primefaces,951,435928,657,3035,65,2018
group-by,951,9731834,2149,1339,1317,2011
fortran,951,157886,715,3598,113,2020
location,951,3085587,1351,1540,796,2014
computer-vision,951,2543210,1348,1919,1049,2014
numbers,951,10917087,2722,2175,1447,2012
foreign-keys,951,169992,1042,1723,59,2020
time-complexity,950,1379067,1647,2798,595,2015
timeout,950,6231630,1669,1535,1141,2012
jinja2,950,62778,750,1100,42,2021
closures,950,1021327,1352,2058,495,2016
jquery,949,68706450,5300,617,21177,2008
time-series,949,2218771,1192,1857,566,2015
webdriver,949,3468474,1474,1603,508,2014
google-drive-api,949,81849,738,1718,59,2021
pagination,948,72901,585,1003,44,2021
smtp,948,373604,718,1786,90,2020
cocoa,948,460294,913,2193,271,2018
rss,948,2015588,1522,908,550,2011
rubygems,948,952047,1045,1741,181,2017
bots,948,1708887,1095,1615,239,2017
hover,948,1394208,1583,1640,194,2015
kernel,948,3337417,1526,1503,1392,2012
escaping,948,6534356,1771,2163,986,2013
modal-dialog,948,8218428,1797,1300,1398,2012
gmail,947,4716053,1413,1446,830,2013
phantomjs,947,3849126,1431,1152,1725,2013
controls,947,2097866,1341,1654,263,2013
google-play,947,6757706,1820,1209,2128,2012
imagemagick,947,1480292,1153,1876,513,2015
shiny,947,3447400,1128,1344,1454,2014
xmlhttprequest,947,967635,898,2540,163,2018
active-directory,947,7020652,1669,1051,991,2011
jaxb,946,1327684,990,1447,216,2016
applescript,945,1700044,1442,852,463,2013
c++17,945,1698672,1491,3915,1336,2017
base64,944,4592202,1255,2203,730,2014
jsf,944,232444,590,3652,73,2019
range,944,2252587,1585,2122,798,2015
sql-update,944,548772,1312,2737,119,2018
tableview,944,1701690,1189,2071,373,2015
hyperlink,943,806432,1117,1962,119,2018
macros,943,3228780,1934,1910,1710,2012
permissions,943,100619,536,1506,58,2021
servlets,943,156753,680,1935,54,2020
mercurial,943,1714234,1431,1019,566,2013
clang,943,306213,799,2930,233,2020
netbeans,943,382905,777,1987,94,2020
notifications,942,3614578,1693,827,1184,2011
jframe,942,480869,1034,2490,91,2016
in-app-purchase,942,1242554,985,1598,676,2015
seo,942,865844,1201,1283,284,2015
solr,942,147007,570,2129,40,2020
debian,942,2238018,1095,1793,391,2017
web-crawler,941,1492141,1123,1697,574,2015
sonarqube,941,3280791,1231,1064,486,2014
nginx,941,9536560,1719,909,3658,2011
request,941,5230121,1503,1376,722,2012
phpunit,941,1289931,1125,1973,271,2017
google-chrome-devtools,941,3407236,1196,1622,874,2016
foreign-keys,941,1667112,1213,1775,315,2015
floating-point,941,466513,1378,3989,285,2019
geometry,941,899257,1201,2376,325,2017
ssl-certificate,940,2368739,987,1708,470,2017
xmlhttprequest,940,246512,721,2043,78,2020
maps,940,2637242,1296,1295,830,2013
ckeditor,939,706075,916,1214,131,2016
wordpress-theming,939,1912681,1437,1230,279,2013
operating-system,939,456463,1059,2131,154,2019
ember.js,938,280869,1052,1680,82,2018
bluetooth,938,4259506,1442,837,1312,2011
label,938,3488586,1355,1578,436,2014
internationalization,938,1461297,1182,1274,448,2014
imageview,938,4781045,1692,1125,846,2012
push-notification,937,4154729,1579,976,1221,2012
range,937,2248488,1518,2098,406,2016
multiprocessing,937,1841825,1109,2399,650,2015
subquery,937,1044154,1451,2070,219,2015
youtube,937,513045,756,1276,135,2020
hyperlink,937,19025313,2306,858,2231,2010
output,937,114021,1074,2171,60,2020
apple-push-notifications,937,2564715,1328,1482,1131,2014
numbers,936,959553,1704,2775,177,2017
pthreads,936,3022458,1807,2290,818,2012
rspec,936,615274,1078,2003,119,2018
youtube-api,935,4340527,1404,979,1332,2012
powerbi,935,2063952,1073,1048,197,2017
bluetooth-lowenergy,935,302067,661,1631,112,2020
bluetooth-lowenergy,935,2179457,1066,1674,691,2015
background,935,1095541,1212,1798,231,2017
gmail,935,3078587,1238,1552,913,2014
ssis,935,6243481,1552,783,507,2011
admob,934,1653603,1297,1539,428,2015
reporting-services,934,6921968,2164,405,875,2009
range,934,185556,1281,2141,89,2020
wso2,934,136274,852,1136,49,2020
log4j,934,7079884,1674,1112,1033,2012
3d,933,53206,476,1116,42,2021
reference,933,359231,1226,3047,150,2019
asp.net-mvc,933,15128023,3684,480,7302,2008
treeview,933,1390935,1043,1474,219,2014
google-api,933,4282499,1487,965,1217,2012
grid,933,1321303,1069,1518,185,2015
dart,932,10467632,2108,1187,2391,2017
migration,932,1720225,1171,1471,342,2016
sqlalchemy,932,5721427,1494,936,1779,2012
constants,932,6584988,2357,2402,1676,2012
window,932,2764602,1196,1710,360,2014
return,932,1242739,1643,3067,201,2017
udp,932,1149009,912,2275,246,2016
air,931,583806,1015,1444,140,2014
iphone,931,81986,541,1408,79,2021
html-table,931,56356,970,1568,41,2021
linux-kernel,931,76326,436,2440,76,2021
pthreads,931,1827874,1288,2508,412,2014
django-templates,931,5196751,1779,866,1407,2011
copy,931,175224,945,2253,73,2020
web-crawler,930,943957,1058,1572,363,2016
datagridview,930,194278,935,2772,72,2019
binding,930,597836,1020,2144,142,2018
escaping,929,7441136,2025,1828,1075,2012
components,929,4072349,1214,1510,743,2016
radio-button,929,1322997,1354,1827,187,2016
ruby,929,18261668,4888,511,9789,2008
widget,929,2734629,1427,695,762,2011
type-conversion,928,586258,1344,2684,235,2019
append,928,1568106,1489,1974,231,2016
syntax-error,928,1715148,1402,2458,156,2015
css,928,58042508,6390,887,15655,2008
output,928,817649,1316,2564,152,2017
segmentation-fault,928,505399,1122,4361,115,2018
google-cloud-storage,928,79133,826,1494,41,2021
environment-variables,927,3983657,1331,1826,769,2016
kernel,927,1418655,1017,1935,481,2015
bluetooth-lowenergy,927,3371203,1233,1469,1134,2014
centos,927,7346321,1669,1424,1125,2012
http-headers,927,3323037,1043,1842,584,2017
command,926,2021117,1228,1835,255,2016
orm,926,480810,961,1487,143,2019
stack,926,847664,1316,3275,201,2016
autocomplete,926,503865,807,1316,121,2020
maps,926,1654477,1130,1461,441,2014
vector,926,13107268,3085,1819,3134,2010
widget,925,1363986,980,1289,339,2015
android-viewpager,925,7408088,1799,1204,3307,2012
global-variables,925,3626703,1838,2257,776,2013
cursor,925,1814162,1149,1717,267,2014
intellij-idea,925,11125787,2358,881,3102,2011
google-chrome-devtools,925,2106877,1023,1900,611,2017
django-forms,924,4678822,1573,745,1439,2011
lua,924,4548563,2008,1086,1244,2011
dataset,924,3634045,1414,1797,335,2013
icons,924,2932365,1416,1546,562,2014
django-admin,923,2900846,1312,1235,775,2013
foreign-keys,923,1167718,1160,1793,220,2016
imagemagick,923,4001495,1562,1482,1520,2012
malloc,923,2553367,2058,3384,527,2013
pivot,923,227162,1204,1879,112,2019
itext,923,2299480,972,2097,321,2014
substring,923,1779474,1975,2435,237,2015
java-stream,923,8947990,2143,2421,2937,2015
malloc,923,1171861,1828,4417,319,2015
timeout,922,3553152,1199,1547,616,2014
transactions,922,722329,968,1941,279,2018
pivot,922,1051214,1254,1812,220,2016
double,922,2064136,1758,3079,279,2015
phpmyadmin,922,304701,779,2139,59,2020
clang,922,1338708,1044,2785,639,2016
singleton,922,2332609,1790,2621,798,2013
continuous-integration,922,1837251,1187,1105,1032,2015
go,921,15222492,2417,1117,5229,2012
encoding,921,56941,631,2354,47,2021
jar,921,222345,772,1971,62,2020
localization,920,1093745,1083,1589,360,2017
file-io,920,891338,1195,3350,180,2017
internationalization,920,5197392,2156,764,2046,2010
stl,920,152822,1278,3379,116,2020
checkbox,920,62013,887,1476,31,2021
localhost,920,4272493,1213,2215,900,2016
iteration,920,784614,1582,2598,200,2017
elixir,920,2689223,1547,946,1269,2015
spring-data,920,7083292,1444,1432,1630,2014
runtime-error,920,2096415,1240,2857,230,2015
position,920,1673886,1389,1801,289,2015
split,919,17706089,3022,1565,2549,2011
cygwin,919,3066414,1266,1995,659,2014
jsp,919,44528,470,1512,34,2021
range,919,2824206,1655,1812,432,2014
fullcalendar,919,511056,750,3314,87,2019
annotations,919,1027334,1011,1651,264,2018
polymorphism,918,692886,1555,2736,365,2016
xml-parsing,918,945714,1030,1802,168,2017
base64,918,969421,947,2431,153,2019
attributes,918,193645,987,1588,56,2020
composer-php,918,880655,996,2237,147,2020
dependencies,918,843582,967,1775,186,2019
retrofit,918,619455,1163,2260,191,2019
aggregation-framework,917,2069246,1184,1446,530,2015
c++14,917,344973,1275,3606,328,2019
gtk,917,1630033,1271,1088,498,2012
location,917,3940382,1540,1260,875,2012
